,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,player_height,player_weight,mean_score,median_score
18,19,52.953691406632586,7.74734329396094,3.3443774852598382,1.3874111427787896,-1.6144032193296896,0.05173344963859669,0.13655866584395995,0.18516933287300932,0.508568769220975,0.10916392259701083,200.81645571095572,99.05325562262443,-5.3717284471532025,-5.145292696629214
19,20,48.88838170376631,6.575735172946711,2.865282591340284,1.4652401551440013,-3.5315135825712747,0.056481600771023835,0.12397180607853685,0.18659515207015206,0.5039208506237352,0.1278162429450891,201.85409462759463,99.06618514777445,-5.636462575891269,-3.3957456975772757
20,21,48.571661778392546,7.056049196529965,3.1034669924093,1.7330418726572572,-4.2735696568388875,0.044690050867935475,0.14027836671875132,0.18997310253848715,0.49206692623615705,0.13454375891202813,199.49746153846155,98.11532989003219,-15.566609040147888,-4.7979023376623395
21,22,46.32936614667384,5.406146257588565,3.007302249033018,1.0665789659058889,-5.099658322446785,0.0553782634032634,0.14596199761776682,0.17143717724583107,0.5062479213094597,0.10315356374394834,201.88483183483183,101.42880547926433,-10.526955345142595,-16.86443623188406
22,23,54.75188533688534,7.161795171495171,3.244244866244866,1.3539430014430014,-3.388092318792319,0.046942974580974565,0.13720463492063492,0.1771330421800422,0.5134090921300921,0.10640447752247752,200.25283030303032,98.59761914893373,-5.7421567484167495,-0.5676270270270319
23,24,49.223006480698785,7.0402501878463415,2.6434506198929273,1.8373154409692871,-7.423106861087631,0.038604207758053906,0.12388243871513102,0.18434858997839765,0.48255823706208323,0.14423952874049026,197.5493141025641,95.91212691897248,-15.210562240537241,-1.3312777777777776
24,25,42.41562588052973,6.26850415610031,2.964300448483141,1.1817399267399267,-3.3957473936320093,0.063429884004884,0.13896908401427632,0.19656958885131962,0.4907448365736827,0.12197506222410068,201.80454470742933,101.98724503841457,-11.333228395391682,-9.344639869281043
25,26,48.97629985754986,6.701517348392348,3.0451371082621086,1.2432135225885226,-2.478082010582011,0.05596089743589743,0.13143772130647127,0.17531813186813186,0.5222153133903135,0.1050980692918193,198.7840750915751,96.18967696465201,-8.319371540496538,-7.2484874999999995
26,27,49.37128427128427,6.717330724830725,3.3186749361749364,1.4082696470196472,-4.2409935897435895,0.060849418636918624,0.1485201812076812,0.18112840215340215,0.518679761904762,0.11471373903873902,203.14967365967365,102.82880480045509,-9.097394359344358,-1.9035601851851853
27,28,45.49816117216117,5.84115409035409,2.3279404151404153,1.423203907203907,-3.117326984126984,0.046903236874236864,0.12551791575091575,0.1906770293040293,0.49787843833943835,0.13503070451770452,200.14353333333332,98.18701658373625,-12.461950983571983,-4.2378409090909095
28,29,40.15509259259259,5.419930555555556,2.5868650793650794,1.296889880952381,-1.9231712962962966,0.061815658068783065,0.13728670634920634,0.17838007605820105,0.4923861441798942,0.11630282738095236,199.58490972222225,98.75459076574073,-7.764237523825147,-6.055765748031495
29,30,43.35073051948052,6.477770562770563,3.259435425685426,1.493880772005772,-4.963344155844156,0.06766263528138527,0.14498511002886003,0.1770481691919192,0.4995595869408369,0.11689926948051947,201.43945562770566,101.67042547554114,-13.325356231962482,-10.003484126984127
30,31,39.70012698412698,5.39932380952381,2.422942857142857,0.9200158730158731,-4.637387301587301,0.05329844444444443,0.12993044444444443,0.17170123809523807,0.49884904761904764,0.1023882857142857,202.09062476190476,101.06752627250793,-11.358356709212899,-13.032046391752578
31,32,38.62432133838384,4.464150357744108,1.9710695496632997,0.9746901304713805,-6.2482396885521885,0.053021706649831635,0.12306476746632995,0.1860719276094276,0.48529927398989897,0.10378975168350169,200.7881759259259,100.37732998640571,-13.749104319234009,-9.639196969696972
32,33,41.18963293650794,4.28708167989418,2.5444940476190476,0.8133151455026456,-5.193738425925926,0.06571395502645502,0.15310684523809523,0.16504262566137565,0.5081674768518518,0.09927093253968254,200.4071759259259,101.42327619814814,-7.859091642873275,-8.148845528455283
33,34,44.5685440163701,6.0553842413625025,2.548765304743566,1.7567894907025343,-3.353735033082859,0.045572283996197026,0.12542829127394342,0.17513927763058196,0.5096575559705994,0.16997773349838566,195.91507989594945,98.2467369582379,-11.184743504201117,-16.98612380952381
34,35,36.469853479853484,4.580652167277167,3.25261217948718,0.9591788766788767,-3.8893279914529915,0.0682449313186813,0.16009287087912089,0.16931710775335773,0.500741253052503,0.0932207967032967,203.65861111111113,105.3171920596337,-14.293139603174605,-21.008175274725275
